Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-05-07,170.43515014648438,170.94271797332505,167.58875812637166,167.69823532661383,28039700.0,0,0.0,1.0,0.0
2024-05-08,168.57408142089844,169.34040676593384,167.93712719897263,168.19588463137836,19569100.0,1,0.0,1.0,0.0
2024-05-09,169.1512908935547,169.87781310338192,167.3797466451611,168.5839958188216,15346700.0,0,0.0,1.0,0.0
2024-05-10,167.84751892089844,169.0418211972959,165.39923266388908,167.2304738812949,29799900.0,1,0.0,1.0,0.0
2024-05-13,168.335205078125,168.474538328996,163.2196626015956,163.47842001430308,31327600.0,1,0.0596953648943696,0.7869619852603646,0.1533426419915108
2024-05-14,169.5294952392578,170.43516897895464,167.99682945269723,168.9622152743634,25127100.0,1,0.0778983286647755,0.7786610344758743,0.1434406379293298
2024-05-15,171.68914794921875,171.82848118606026,169.69866445937762,169.81810379537313,26948400.0,1,0.0322441065740273,0.7826677654328359,0.1850881228267265
2024-05-16,173.3511962890625,174.28672593990896,171.86829583867203,172.46543176167918,27867900.0,1,0.0673045570628909,0.8222139932141563,0.1104814458012836
2024-05-17,175.22225952148438,175.43126697024482,172.8635414410171,173.35120017781833,24479300.0,1,0.0,1.0,0.0
2024-05-20,176.07818603515625,177.91938952957375,175.24218652700162,175.35166373779705,22554400.0,1,0.0878472064889416,0.8583954883700547,0.0537573008368496
2024-05-21,177.00376892089844,177.30232932665308,174.97346704465423,176.05827701539062,16989400.0,0,0.1333303195800731,0.7084732918369501,0.1581963786626571
2024-05-22,175.54074096679688,176.3070661638398,174.3763099665658,175.79949834923147,17880000.0,0,0.1319932584323212,0.7513809598483262,0.116625773440696
2024-05-23,172.72422790527344,177.4018616117976,172.12707671457434,176.22748350592448,21024900.0,1,0.0399596840054134,0.767259277920034,0.1927810337699403
2024-05-24,174.15737915039062,174.93366658897898,172.82374351187994,174.1474170125974,16572500.0,1,0.0081525839560958,0.752381959322884,0.2394654538411156
2024-05-28,175.56065368652344,176.42652440990983,173.54031397559726,173.61993514476987,20572200.0,0,0.0,1.0,0.0
2024-05-29,175.0630340576172,175.99856381955107,173.88865597259235,174.59526917665025,23388700.0,0,0.0,1.0,0.0
2024-05-30,171.29107666015625,174.38627944367667,170.97259197646454,174.36637035439955,22958700.0,1,0.0520630916122963,0.674048115320403,0.273888798931722
2024-05-31,171.67919921875,172.23653216033742,168.63376194065896,171.0422451160524,37638900.0,1,0.1046124921554957,0.7727800063510809,0.1226075049530404
2024-06-03,172.3460235595703,173.69955303760383,170.3455929752159,171.71901635552842,27459100.0,1,0.0343251436687358,0.7343154079814858,0.2313594464067025
