Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,815.39,827.91,807.1324,811.0,2008733.0,1,0.0124687373895408,0.9825481529746736,0.0049831131518917
2024-06-04,827.39,828.01,813.04,814.98,1754454.0,1,0.1592992448508912,0.613408389242295,0.227292367249642
2024-06-05,834.3,834.39,821.68,830.91,2080014.0,1,0.0414824246344923,0.5586200597065044,0.3998975082053572
2024-06-06,842.64,849.0909,834.32,835.42,1734991.0,1,0.0652273509624643,0.6409401848088236,0.2938324614165321
2024-06-07,845.58,850.38,842.29,846.68,1593589.0,1,0.0038029849392338,0.8356560318251,0.1605409752165367
2024-06-10,848.34,849.48,842.74,847.18,1402332.0,1,0.0817816967147125,0.6659468067791416,0.2522715109363768
2024-06-11,849.31,850.935,840.26,849.24,1690514.0,0,0.0001286621993609,0.7735201462527599,0.2263511931253588
2024-06-12,847.81,855.74,843.61,852.31,1838255.0,0,0.1326513726886867,0.8049119978000587,0.0624366362722965
2024-06-13,845.96,847.81,837.55,847.81,1322381.0,1,0.0001554449128888,0.8325376468267114,0.1673069105369818
2024-06-14,855.67,856.18,841.91,843.42,1395485.0,1,0.036209710726203,0.8435565512937804,0.1202337266013879
2024-06-17,867.91,870.56,853.37,854.49,1904926.0,1,0.0012946913880132,0.7318817549928888,0.2668235415893906
2024-06-18,870.75,873.9599,867.7,868.0,1763802.0,0,0.0773515379322312,0.7273543428354212,0.1952941198971984
2024-06-20,862.44,873.85,860.56,871.31,1944601.0,0,0.0631479791364369,0.8289207106294612,0.107931305757385
2024-06-21,848.31,866.9653,847.65,866.64,3852859.0,0,6.42498075298582e-05,0.7313088558301084,0.2686268774943224
2024-06-24,848.16,850.63,841.51,850.0,1722886.0,1,0.0094360280329009,0.5072940223102587,0.4832699800168657
2024-06-25,855.51,855.69,845.0,849.32,1675700.0,1,0.0550901675005654,0.8787251884147289,0.0661846373686478
2024-06-26,856.84,859.74,850.06,852.72,1505286.0,0,0.079387031994296,0.8256032826158206,0.0950096867213274
2024-06-27,850.62,858.3306,848.64,857.705,1254904.0,0,0.0486320220250361,0.8155262523020308,0.1358417341599912
2024-06-28,849.99,857.24,846.81,851.25,2131691.0,0,0.0001162613088013,0.9956165969371796,0.004267135737973
2024-07-01,845.67,856.0,840.5001,853.5,1989003.0,1,0.0670203183436584,0.7445309540797638,0.1884487288625678
2024-07-02,859.36,860.36,843.08,845.69,1377857.0,1,0.0156623220321477,0.8675718203186988,0.1167658535934605
2024-07-03,862.66,863.52,855.0,855.0,814423.0,1,0.0683821583222593,0.8391579144420878,0.0924599141662946
2024-07-05,885.67,886.94,858.72,864.56,2620714.0,0,0.1997942337056315,0.7007539741694927,0.0994517918703422
2024-07-08,880.84,887.95,877.66,886.79,1611317.0,1,0.000719832710672,0.5299953670559792,0.4692848010126909
2024-07-09,886.85,896.67,882.965,883.85,1358498.0,0,0.0074944535404028,0.7487260699272156,0.2437795090118015
2024-07-10,884.31,890.27,880.7,887.4,1755823.0,0,0.0021468301338245,0.2555968407255477,0.7422563238716975
2024-07-11,846.59,890.76,846.52,890.76,6021054.0,0,0.2440566743334132,0.489454409687775,0.2664889189352842
2024-07-12,842.9,850.0,838.38,849.89,3288384.0,1,0.093420603861367,0.6838574021032855,0.222721995370583
2024-07-15,848.73,857.8999,844.67,846.86,2064036.0,1,0.0002612464548086,0.7723864276986632,0.2273523233307059
2024-07-16,850.77,851.235,841.34,847.8,1687592.0,0,0.0584683903861591,0.8055520809111978,0.1359795363713617
2024-07-17,846.28,849.95,842.65,848.01,1783079.0,0,0.0589088420685749,0.7630959713521103,0.177995181806124
2024-07-18,839.37,855.3,825.11,849.43,2338477.0,0,0.0697496389521522,0.8431087164613927,0.0871416556073069
2024-07-19,838.13,848.88,835.56,836.51,1984385.0,1,0.0398135519343673,0.9117043018341064,0.0484821381777464
2024-07-22,847.42,849.59,838.6,845.75,1920228.0,1,0.040124988100502,0.9027033178287092,0.0571716851469439
2024-07-23,852.11,854.5799,845.5786,848.9,1744123.0,0,0.1018649594770028,0.7724794962947877,0.1256555616142804
2024-07-24,830.82,846.0,829.5,844.6,2511321.0,0,0.0001620600115667,0.9884657646928514,0.0113721616091164
2024-07-25,815.95,836.65,814.28,835.79,2183740.0,1,0.0080208113998126,0.8857877258137705,0.1061914607607074
2024-07-26,817.6,822.28,809.01,818.0,1441455.0,0,0.0097075849396146,0.853140666749272,0.1371517346547989
2024-07-29,815.56,823.74,814.09,822.56,1320420.0,0,0.0227111452022493,0.7676850678723232,0.2096037713175367
2024-07-30,810.03,822.0,803.28,818.0,2017248.0,1,0.0007926274269701,0.6826685524330761,0.3165388015925903
2024-07-31,822.0,825.48,811.27,820.42,2135049.0,0,0.070143051521593,0.56844275378362,0.3614142094536093
2024-08-01,816.89,824.17,809.68,818.55,1861405.0,1,0.1667796324672963,0.4393897837871918,0.3938305908231996
2024-08-02,822.08,830.285,805.0101,816.2,2598467.0,0,0.0716543636315581,0.9194150669063674,0.0089305739009951
2024-08-05,801.83,810.82,793.0,798.0,2820885.0,1,0.0499305016155801,0.6950836214776274,0.2549858840207889
2024-08-06,816.88,833.09,805.06,805.06,2476255.0,0,0.0030292053512077,0.7726480743294815,0.2243227255671626
2024-08-07,810.3,833.83,809.26,824.11,1702040.0,1,0.073596245021098,0.7375834466646276,0.1888203097111332
2024-08-08,839.43,842.76,820.45,821.5,2345030.0,1,0.0068460890730622,0.7356906938229134,0.2574632040752241
